BW    336 #MHz
FRES  1 #MHz
NFRB 7694 #Number of FRBs
DIAM 12
NBEAMS 36
BEAM lat50_log #prefix of beam file
THRESH 4.4 #Jy ms to a 1 ms burst, very basic. Likely higher
SNRTHRESH 9 # signal-to-noise threshold: scales jy ms to snr
KEY ID 		DM   DMG DMEG	Z       SNR     w
FRB 5892   343.2  35    258.2  0.083    22.8    5.0
FRB 5893   652.5  35    567.5  0.115    28.9    3.0
FRB 5894   253.1  35    168.1  0.225    25.5    3.0
FRB 5895   479.4  35    394.4  0.445    14.2    2.0
FRB 5896   373.6  35    288.6  0.257    15.0    3.0
FRB 5897   256.9  35    171.9  0.062    16.7    2.0
FRB 5898   224.4  35    139.4  0.080     9.1    4.0
FRB 5900   199.8  35    114.8  0.176    23.9    4.0
FRB 5901   206.3  35    121.3  0.170    25.0    3.0
FRB 5902   336.8  35    251.8  0.110    10.7    3.0
FRB 5904   498.2  35    413.2  0.606    10.5    2.0
FRB 5905   307.5  35    222.5  0.381    21.0    3.0
FRB 5906   143.4  35     58.4  0.073   155.6    4.0
FRB 5907   240.8  35    155.8  0.150    14.5    3.0
FRB 5909   564.8  35    479.8  0.419    26.5    2.0
FRB 5910   562.8  35    477.8  0.416    24.3    1.0
FRB 5911  2421.5  35   2336.5  0.129    29.3    3.0
FRB 5912   466.5  35    381.5  0.367    43.2    2.0
FRB 5913   194.9  35    109.9  0.064    17.5    4.0
FRB 5914   340.9  35    255.9  0.260    14.5    2.0
FRB 5915   484.4  35    399.4  0.413    12.0    3.0
FRB 5917   447.3  35    362.3  0.103    41.0    2.0
FRB 5918   368.9  35    283.9  0.411    14.8    3.0
FRB 5919   303.4  35    218.4  0.126    17.6    1.0
FRB 5920   427.7  35    342.7  0.212    36.0    4.0
FRB 5921   326.5  35    241.5  0.090    31.0    5.0
FRB 5922   281.4  35    196.4  0.111    12.2    3.0
FRB 5924   738.9  35    653.9  0.377    20.4    3.0
FRB 5925   319.6  35    234.6  0.139    15.1    2.0
FRB 5926   201.9  35    116.9  0.022    20.2    2.0
FRB 5927   761.8  35    676.8  0.594     9.6    1.0
FRB 5928   198.5  35    113.5  0.060    51.3    2.0
FRB 5929   472.8  35    387.8  0.134    14.4    2.0
FRB 5930   744.8  35    659.8  0.209    18.4    3.0
FRB 5932   260.8  35    175.8  0.020    32.3    1.0
FRB 5933   608.0  35    523.0  0.632    11.9    2.0
FRB 5935   486.0  35    401.0  0.316    18.2    3.0
FRB 5936   496.0  35    411.0  0.292    21.3    2.0
FRB 5937   195.4  35    110.4  0.151    73.7    2.0
FRB 5938   210.0  35    125.0  0.096    11.8    1.0
FRB 5940   599.7  35    514.7  0.065    20.0    5.0
FRB 5941   495.9  35    410.9  0.513    12.7    2.0
FRB 5943   229.9  35    144.9  0.216    19.6    2.0
FRB 5944   236.4  35    151.4  0.180    26.0    3.0
FRB 5945   415.8  35    330.8  0.191    15.8    1.0
FRB 5946   484.4  35    399.4  0.176    12.8    4.0
FRB 5947   581.9  35    496.9  0.233    34.5    3.0
FRB 5948   294.3  35    209.3  0.163    49.7    3.0
FRB 5949   689.4  35    604.4  0.383    46.0    2.0
FRB 5950   239.0  35    154.0  0.092    78.6    3.0
FRB 5951   741.9  35    656.9  0.586    22.6    2.0
FRB 5953   307.0  35    222.0  0.095    30.8    4.0
FRB 5954   349.1  35    264.1  0.110    23.6    3.0
FRB 5955   178.4  35     93.4  0.107    10.1    5.0
FRB 5957   181.1  35     96.1  0.055    10.8    4.0
FRB 5958   255.0  35    170.0  0.050    34.4    1.0
FRB 5959   331.2  35    246.2  0.098    51.4    3.0
FRB 5960  2524.5  35   2439.5  0.064    15.7    3.0
FRB 5962   338.9  35    253.9  0.406    16.8    1.0
FRB 5963   221.5  35    136.5  0.189    11.8    1.0
FRB 5964   362.4  35    277.4  0.397    14.1    4.0
FRB 5966   598.8  35    513.8  0.295    23.0    2.0
FRB 5967   335.9  35    250.9  0.462    10.8    3.0
FRB 5969   578.1  35    493.1  0.737     9.8    1.0
FRB 5970   327.9  35    242.9  0.138    43.8    2.0
FRB 5972   205.2  35    120.2  0.026    10.4    5.0
FRB 5973   478.7  35    393.7  0.436    33.6    2.0
FRB 5974   553.0  35    468.0  0.214    21.7    4.0
FRB 5975   297.8  35    212.8  0.220    70.2    2.0
FRB 5977   257.0  35    172.0  0.092   338.3    2.0
FRB 5978   406.6  35    321.6  0.370    11.4    2.0
FRB 5979   344.7  35    259.7  0.038    19.1    3.0
FRB 5981   495.5  35    410.5  0.236    11.0    3.0
FRB 5982   440.2  35    355.2  0.177    16.9    4.0
FRB 5984   440.6  35    355.6  0.133    12.3    4.0
FRB 5985   600.8  35    515.8  0.525    15.7    3.0
FRB 5986   785.9  35    700.9  0.485    14.2    2.0
FRB 5988   335.3  35    250.3  0.311    10.4    3.0
FRB 5990   501.2  35    416.2  0.450    11.1    2.0
FRB 5991   303.8  35    218.8  0.023    23.3    3.0
FRB 5992   472.9  35    387.9  0.150    27.4    4.0
FRB 5994   439.5  35    354.5  0.249    23.1    3.0
FRB 5995   381.5  35    296.5  0.069    10.1    2.0
FRB 5996   278.8  35    193.8  0.080    28.8    5.0
FRB 5997   674.6  35    589.6  0.375    34.0    3.0
FRB 5998   447.0  35    362.0  0.462    17.3    1.0
FRB 6000   581.2  35    496.2  0.457    12.6    2.0
FRB 6002   341.8  35    256.8  0.138    10.6    3.0
FRB 6004   343.8  35    258.8  0.176     9.0    3.0
FRB 6006   589.8  35    504.8  0.429    11.9    1.0
FRB 6007   217.6  35    132.6  0.130    25.2    3.0
FRB 6009   358.5  35    273.5  0.284    25.1    3.0
FRB 6010   550.0  35    465.0  0.245     9.8    5.0
FRB 6011   287.9  35    202.9  0.248    22.5    3.0
FRB 6013   614.0  35    529.0  0.077    20.0    3.0
FRB 6014   171.6  35     86.6  0.012     9.8    2.0
FRB 6015   171.0  35     86.0  0.012    14.0    3.0
FRB 6016  1104.7  35   1019.7  0.204    23.3    1.0
FRB 6018   281.4  35    196.4  0.177    86.5    1.0
FRB 6019   326.6  35    241.6  0.110     9.7    3.0
FRB 6020   403.0  35    318.0  0.342    41.8    3.0
FRB 6022   508.0  35    423.0  0.219    12.4    5.0
FRB 6024   641.5  35    556.5  0.133    19.0    3.0
FRB 6025   581.1  35    496.1  0.633    11.5    2.0
FRB 6026   419.1  35    334.1  0.259    22.3    2.0
FRB 6027  1333.0  35   1248.0  0.350    43.5    4.0
FRB 6028   424.6  35    339.6  0.165    17.8    1.0
FRB 6029   651.2  35    566.2  0.336    17.8    4.0
FRB 6030   468.8  35    383.8  0.241    16.2    3.0
FRB 6032   236.6  35    151.6  0.111     9.6    4.0
FRB 6034   294.0  35    209.0  0.133     9.3    3.0
FRB 6035   353.0  35    268.0  0.090    21.0    2.0
FRB 6036   273.5  35    188.5  0.161    14.4    2.0
FRB 6038   218.9  35    133.9  0.114    25.8    2.0
FRB 6039   459.7  35    374.7  0.282    43.5    3.0
FRB 6040   487.1  35    402.1  0.375    39.8    3.0
FRB 6041   656.1  35    571.1  0.546     9.6    1.0
FRB 6042   268.6  35    183.6  0.277    36.2    0.0
FRB 6043   785.9  35    700.9  0.242    16.0    4.0
FRB 6045   419.3  35    334.3  0.041    43.8    3.0
FRB 6046   541.2  35    456.2  0.375     9.0    3.0
FRB 6048   450.9  35    365.9  0.089    46.5    2.0
FRB 6049   318.6  35    233.6  0.300    20.7    3.0
FRB 6050   504.7  35    419.7  0.601     9.8    2.0
FRB 6051   647.9  35    562.9  0.005   252.4    2.0
FRB 6053   312.6  35    227.6  0.127    19.9    1.0
FRB 6054   335.6  35    250.6  0.254    13.6    4.0
FRB 6056   389.4  35    304.4  0.368    10.1    3.0
FRB 6058   363.2  35    278.2  0.051    12.8    4.0
FRB 6060   304.8  35    219.8  0.077    48.9    2.0
FRB 6061   739.5  35    654.5  0.619    16.1    3.0
FRB 6062   256.3  35    171.3  0.059    12.4    3.0
FRB 6064   377.8  35    292.8  0.326    11.4    0.0
FRB 6065   840.3  35    755.3  0.045    53.6    4.0
FRB 6067   620.7  35    535.7  0.280    10.3    2.0
FRB 6068   476.1  35    391.1  0.130   155.6    2.0
FRB 6070   436.1  35    351.1  0.296    10.6    2.0
FRB 6071   893.2  35    808.2  0.020    41.3    2.0
FRB 6073   426.8  35    341.8  0.478    40.4    3.0
FRB 6074   689.2  35    604.2  0.070    62.3    3.0
FRB 6075   410.3  35    325.3  0.324    15.1    0.0
FRB 6076   918.0  35    833.0  0.152    52.6    3.0
FRB 6077   373.1  35    288.1  0.036    12.5    3.0
FRB 6079   290.1  35    205.1  0.045    14.2    2.0
FRB 6080   241.8  35    156.8  0.009    12.7    4.0
FRB 6081   323.3  35    238.3  0.197    20.1    3.0
FRB 6083   585.3  35    500.3  0.631     9.0    2.0
FRB 6084   543.8  35    458.8  0.271    15.7    2.0
FRB 6085   349.0  35    264.0  0.356    18.5    3.0
FRB 6087   292.3  35    207.3  0.213     9.6    2.0
FRB 6089   300.9  35    215.9  0.097    32.3    0.0
FRB 6090  1620.2  35   1535.2  0.257    11.5    0.0
FRB 6092   435.2  35    350.2  0.378    42.7    1.0
FRB 6093   323.4  35    238.4  0.259    42.6    3.0
FRB 6094   370.5  35    285.5  0.427    14.2    4.0
FRB 6095   521.2  35    436.2  0.145     9.2    1.0
FRB 6097   442.5  35    357.5  0.197    37.6    2.0
FRB 6098   138.5  35     53.5  0.036    14.2    4.0
FRB 6099   426.4  35    341.4  0.140    15.0    3.0
FRB 6100   311.4  35    226.4  0.320    18.0    3.0
FRB 6101   550.6  35    465.6  0.076    36.9    3.0
FRB 6102   785.8  35    700.8  0.169    45.3    3.0
FRB 6103   417.9  35    332.9  0.108    12.9    2.0
FRB 6105   667.6  35    582.6  0.745    10.8    2.0
FRB 6107   639.8  35    554.8  0.003    29.5    3.0
FRB 6108   508.1  35    423.1  0.326    11.9    3.0
FRB 6109   391.1  35    306.1  0.098   178.1    4.0
FRB 6110   507.7  35    422.7  0.667    17.9    1.0
FRB 6112   492.1  35    407.1  0.526    13.9    3.0
FRB 6113   131.3  35     46.3  0.043    22.6    2.0
FRB 6115   238.5  35    153.5  0.142    13.2    3.0
FRB 6116   372.4  35    287.4  0.006    42.6    3.0
FRB 6117   191.0  35    106.0  0.169    31.2    5.0
FRB 6119   188.4  35    103.4  0.102    13.0    3.0
FRB 6120   211.0  35    126.0  0.045    14.6    3.0
FRB 6121   518.4  35    433.4  0.091    14.4    3.0
FRB 6122   369.1  35    284.1  0.282    25.3    2.0
FRB 6124   974.3  35    889.3  0.276    32.7    3.0
FRB 6125  1009.8  35    924.8  0.492    11.8    2.0
FRB 6127   344.8  35    259.8  0.326    15.0    2.0
FRB 6128   177.5  35     92.5  0.020    30.8    2.0
FRB 6129   510.9  35    425.9  0.484    10.8    2.0
FRB 6130   228.8  35    143.8  0.018    17.6    3.0
FRB 6132  1045.4  35    960.4  0.230     9.8    3.0
FRB 6134   378.0  35    293.0  0.392    48.1    2.0
FRB 6135   236.7  35    151.7  0.167    19.5    2.0
FRB 6136   353.6  35    268.6  0.241     9.1    3.0
FRB 6138   266.3  35    181.3  0.043     9.4    4.0
FRB 6140   579.1  35    494.1  0.095    18.5    3.0
FRB 6141   610.5  35    525.5  0.270    11.3    2.0
FRB 6142   209.0  35    124.0  0.128    37.5    4.0
FRB 6143   229.4  35    144.4  0.101    55.6    4.0
FRB 6144   219.9  35    134.9  0.039    54.2    1.0
FRB 6145   154.8  35     69.8  0.005    40.2    3.0
FRB 6146   147.8  35     62.8  0.012    20.3    0.0
FRB 6148   269.0  35    184.0  0.240    13.3    2.0
FRB 6150   359.2  35    274.2  0.312    32.6    3.0
FRB 6151   373.7  35    288.7  0.056    22.8    3.0
FRB 6152   298.3  35    213.3  0.089    15.8    3.0
FRB 6153   366.9  35    281.9  0.169    25.8    2.0
FRB 6154   702.4  35    617.4  0.258    21.3    2.0
FRB 6155   330.6  35    245.6  0.352    17.3    1.0
FRB 6156   541.0  35    456.0  0.423    10.4    3.0
FRB 6158   306.8  35    221.8  0.208     9.6    3.0
FRB 6160   364.7  35    279.7  0.294    17.0    4.0
FRB 6161   442.5  35    357.5  0.053    25.3    2.0
FRB 6162   407.7  35    322.7  0.129    17.3    0.0
FRB 6163   682.7  35    597.7  0.551    12.1    0.0
FRB 6164   475.2  35    390.2  0.363    15.5    3.0
FRB 6166   181.4  35     96.4  0.109    17.6    3.0
FRB 6167   153.1  35     68.1  0.044    13.9    3.0
FRB 6169   438.6  35    353.6  0.101    50.4    3.0
FRB 6170   831.4  35    746.4  0.172     9.9    1.0
FRB 6172   602.0  35    517.0  0.377    12.4    2.0
FRB 6174   530.8  35    445.8  0.378    12.6    2.0
FRB 6175   232.0  35    147.0  0.131    25.0    4.0
FRB 6177   555.8  35    470.8  0.317    17.9    3.0
FRB 6178   380.1  35    295.1  0.370    10.1    1.0
FRB 6179   683.5  35    598.5  0.288    14.4    3.0
FRB 6181   546.0  35    461.0  0.638    10.3    3.0
FRB 6183   481.9  35    396.9  0.345    15.2    3.0
FRB 6184   372.0  35    287.0  0.346     9.5    3.0
FRB 6186   964.1  35    879.1  0.268    14.7    3.0
FRB 6187   506.4  35    421.4  0.374    10.9    2.0
FRB 6189   305.1  35    220.1  0.074    25.8    2.0
FRB 6190  1478.0  35   1393.0  0.153    47.0    4.0
FRB 6191   270.9  35    185.9  0.161     9.4    5.0
FRB 6192   278.6  35    193.6  0.202    14.0    5.0
FRB 6193   931.6  35    846.6  0.460    26.0    1.0
FRB 6195   261.9  35    176.9  0.063    12.3    0.0
FRB 6197   287.6  35    202.6  0.306    10.0    2.0
FRB 6199   127.0  35     42.0  0.003   132.3    2.0
FRB 6200   646.4  35    561.4  0.028    16.3    5.0
FRB 6201   276.0  35    191.0  0.316    16.1    3.0
FRB 6202   232.0  35    147.0  0.108    12.8    2.0
FRB 6203  1513.4  35   1428.4  0.127    19.5    3.0
FRB 6205   170.7  35     85.7  0.051    11.2    2.0
FRB 6206   338.6  35    253.6  0.315    18.0    2.0
FRB 6207   721.3  35    636.3  0.153    16.5    4.0
FRB 6208   372.8  35    287.8  0.298    17.9    2.0
FRB 6209   283.3  35    198.3  0.151    31.7    2.0
FRB 6210   374.3  35    289.3  0.272    14.5    1.0
FRB 6211   449.2  35    364.2  0.146    16.5    3.0
FRB 6212   446.0  35    361.0  0.197    39.7    2.0
FRB 6214   331.2  35    246.2  0.135    11.4    2.0
FRB 6216   710.6  35    625.6  0.290    35.2    1.0
FRB 6217   151.6  35     66.6  0.064    26.6    4.0
FRB 6218   571.3  35    486.3  0.367    18.9    4.0
FRB 6219   654.6  35    569.6  0.481    23.0    1.0
FRB 6220   183.9  35     98.9  0.061    11.3    3.0
FRB 6221   922.3  35    837.3  0.445    21.9    2.0
FRB 6223   294.3  35    209.3  0.025    40.6    1.0
FRB 6224   711.5  35    626.5  0.113    22.2    4.0
FRB 6225   269.2  35    184.2  0.135    23.2    3.0
FRB 6226   334.3  35    249.3  0.101    13.3    3.0
FRB 6228   495.0  35    410.0  0.337    19.5    0.0
FRB 6229   256.1  35    171.1  0.037    10.2    2.0
FRB 6230   172.6  35     87.6  0.096    14.1    3.0
FRB 6231   504.8  35    419.8  0.035    14.4    2.0
FRB 6233   427.0  35    342.0  0.229     9.3    4.0
FRB 6234   325.7  35    240.7  0.402    26.8    1.0
FRB 6235   430.8  35    345.8  0.341    14.6    1.0
FRB 6236   451.1  35    366.1  0.261    31.1    3.0
FRB 6237   377.1  35    292.1  0.112    27.3    2.0
FRB 6239   599.3  35    514.3  0.560    12.3    3.0
FRB 6241   213.2  35    128.2  0.002    30.4    2.0
FRB 6242   280.4  35    195.4  0.152    12.8    3.0
FRB 6244   897.6  35    812.6  0.062    11.2    6.0
FRB 6246   418.0  35    333.0  0.169    46.4    2.0
FRB 6247   165.0  35     80.0  0.070    11.4    5.0
FRB 6248   275.2  35    190.2  0.188    14.2    4.0
FRB 6249   630.5  35    545.5  0.455    16.4    1.0
FRB 6250   420.1  35    335.1  0.008    53.5    4.0
FRB 6251   288.7  35    203.7  0.039    20.8    2.0
FRB 6253   489.8  35    404.8  0.156     9.3    2.0
FRB 6254   701.9  35    616.9  0.040    32.7    2.0
FRB 6256   222.1  35    137.1  0.073    10.9    2.0
FRB 6257   329.3  35    244.3  0.176   179.7    2.0
FRB 6258   365.7  35    280.7  0.126    25.8    2.0
FRB 6260   366.8  35    281.8  0.345     9.3    1.0
FRB 6262   266.7  35    181.7  0.080    11.0    1.0
FRB 6263   186.2  35    101.2  0.040    27.9    0.0
FRB 6265   393.6  35    308.6  0.236    34.2    2.0
FRB 6266   167.4  35     82.4  0.014    11.4    2.0
FRB 6267   176.3  35     91.3  0.046    19.3    3.0
FRB 6268   419.8  35    334.8  0.182    36.9    3.0
FRB 6269   635.5  35    550.5  0.431    16.8    2.0
FRB 6270   172.7  35     87.7  0.071    29.3    4.0
FRB 6272   672.6  35    587.6  0.460    14.9    2.0
FRB 6273   561.0  35    476.0  0.562    10.0    2.0
FRB 6275   775.2  35    690.2  0.268     9.2    2.0
FRB 6276   275.4  35    190.4  0.250    17.3    3.0
FRB 6277   554.6  35    469.6  0.016    16.8    3.0
FRB 6279   404.3  35    319.3  0.083    15.4    2.0
FRB 6280   266.5  35    181.5  0.280    11.2    2.0
FRB 6281   297.4  35    212.4  0.081    20.5    1.0
FRB 6282   358.3  35    273.3  0.122    48.6    2.0
FRB 6283   322.1  35    237.1  0.155    16.1    3.0
FRB 6285   320.0  35    235.0  0.276    14.1    2.0
FRB 6286   240.9  35    155.9  0.112    21.9    1.0
FRB 6287   791.5  35    706.5  0.458    11.6    3.0
FRB 6288   537.6  35    452.6  0.244    31.0    1.0
FRB 6290   383.9  35    298.9  0.316    12.3    3.0
FRB 6292   352.1  35    267.1  0.059    31.7    1.0
FRB 6293   490.6  35    405.6  0.464    24.0    1.0
FRB 6294   614.1  35    529.1  0.353    18.0    3.0
FRB 6295   427.6  35    342.6  0.499    13.1    2.0
FRB 6297   350.6  35    265.6  0.148    10.9    3.0
FRB 6299   503.4  35    418.4  0.329    18.8    3.0
FRB 6300   458.0  35    373.0  0.325    37.4    2.0
FRB 6301   507.0  35    422.0  0.474    11.4    2.0
FRB 6303   196.3  35    111.3  0.042     9.3    3.0
FRB 6305   672.7  35    587.7  0.702    12.0    2.0
FRB 6306   300.4  35    215.4  0.256    62.7    1.0
FRB 6308   264.2  35    179.2  0.040    13.4    2.0
FRB 6309   367.7  35    282.7  0.203    17.0    4.0
FRB 6310   241.3  35    156.3  0.094    70.6    2.0
FRB 6311   219.0  35    134.0  0.132    24.3    5.0
FRB 6313  1017.2  35    932.2  0.058    11.7    4.0
FRB 6314   334.2  35    249.2  0.180    16.4    3.0
FRB 6315   633.0  35    548.0  0.695    14.2    2.0
FRB 6317   349.3  35    264.3  0.014    12.2    3.0
FRB 6318   195.6  35    110.6  0.094    21.7    1.0
FRB 6319   424.7  35    339.7  0.479    43.3    3.0
FRB 6321   445.3  35    360.3  0.087    19.1    4.0
FRB 6322   174.3  35     89.3  0.039    14.9    3.0
FRB 6323   473.1  35    388.1  0.204    33.7    2.0
FRB 6324   791.6  35    706.6  0.047    16.8    4.0
FRB 6325   448.7  35    363.7  0.112    14.4    2.0
FRB 6326   336.6  35    251.6  0.176    12.2    2.0
FRB 6328   503.6  35    418.6  0.047    32.8    3.0
FRB 6329   867.2  35    782.2  0.309    12.4    2.0
FRB 6331   519.3  35    434.3  0.368    10.7    2.0
FRB 6332   408.8  35    323.8  0.027    19.0    3.0
FRB 6334   130.6  35     45.6  0.043    47.8    3.0
FRB 6335   199.0  35    114.0  0.040    10.5    1.0
FRB 6336   577.8  35    492.8  0.128    26.4    4.0
FRB 6337   289.6  35    204.6  0.110    16.9    1.0
FRB 6339   220.3  35    135.3  0.075    10.0    2.0
FRB 6340   161.4  35     76.4  0.005    25.7    2.0
FRB 6342   183.0  35     98.0  0.000    23.2    2.0
FRB 6343   589.8  35    504.8  0.394    32.5    3.0
FRB 6344   262.6  35    177.6  0.111    30.6    3.0
FRB 6345   433.5  35    348.5  0.332    44.6    3.0
FRB 6346   353.0  35    268.0  0.134    13.4    2.0
FRB 6347   135.4  35     50.4  0.047    55.6    2.0
FRB 6349   239.3  35    154.3  0.068    10.3    2.0
FRB 6350   138.0  35     53.0  0.003    17.2    2.0
FRB 6352   303.6  35    218.6  0.260     9.3    2.0
FRB 6354   564.5  35    479.5  0.005    25.6    3.0
FRB 6355   570.8  35    485.8  0.395    20.4    3.0
FRB 6356   443.2  35    358.2  0.306    27.1    2.0
FRB 6357   784.2  35    699.2  0.402    14.3    1.0
FRB 6358   550.9  35    465.9  0.257    12.8    2.0
FRB 6360   221.7  35    136.7  0.047     9.9    4.0
FRB 6362   135.7  35     50.7  0.030    15.6    2.0
FRB 6363  1802.6  35   1717.6  0.172    12.4    1.0
FRB 6365   473.8  35    388.8  0.287    19.0    2.0
FRB 6366   161.0  35     76.0  0.022    21.8    4.0
FRB 6367   204.8  35    119.8  0.110    17.5    2.0
FRB 6368   330.2  35    245.2  0.294    16.9    2.0
FRB 6369   947.6  35    862.6  0.583    12.1    2.0
FRB 6370   335.5  35    250.5  0.410    33.3    2.0
FRB 6371   231.3  35    146.3  0.154    44.8    2.0
FRB 6372   155.0  35     70.0  0.025    43.9    4.0
FRB 6373   320.0  35    235.0  0.317    23.9    0.0
FRB 6375   375.1  35    290.1  0.144    16.5    3.0
FRB 6376   442.4  35    357.4  0.444    12.9    1.0
FRB 6378   162.6  35     77.6  0.060    11.8    1.0
FRB 6380   211.3  35    126.3  0.164     9.3    2.0
FRB 6381   301.0  35    216.0  0.209    34.7    1.0
FRB 6383   380.5  35    295.5  0.100    24.7    0.0
FRB 6384   193.0  35    108.0  0.038    14.4    5.0
FRB 6385   481.9  35    396.9  0.152    11.9    4.0
FRB 6386   395.8  35    310.8  0.307    17.7    1.0
FRB 6387   217.3  35    132.3  0.116    16.0    2.0
FRB 6389   556.7  35    471.7  0.075     9.2    4.0
FRB 6390   623.3  35    538.3  0.429    26.0    2.0
FRB 6392   391.2  35    306.2  0.246    17.5    2.0
FRB 6393   499.5  35    414.5  0.314     9.7    4.0
FRB 6394   238.9  35    153.9  0.100    20.6    2.0
FRB 6395   438.1  35    353.1  0.048    24.5    5.0
FRB 6396   869.5  35    784.5  0.101    15.8    2.0
FRB 6398   370.5  35    285.5  0.323    11.7    3.0
FRB 6399   262.1  35    177.1  0.106    23.1    1.0
FRB 6400   660.1  35    575.1  0.152    18.4    3.0
FRB 6401   750.5  35    665.5  0.623    17.8    1.0
FRB 6402   244.1  35    159.1  0.082    19.4    1.0
FRB 6403   283.1  35    198.1  0.180    14.9    4.0
FRB 6404   760.0  35    675.0  0.199    20.5    2.0
FRB 6405   537.8  35    452.8  0.376    14.9    1.0
FRB 6406   245.4  35    160.4  0.076    15.0    0.0
FRB 6407   471.7  35    386.7  0.464    22.4    2.0
FRB 6408   627.6  35    542.6  0.595    24.2    1.0
FRB 6409   185.0  35    100.0  0.090    32.1    4.0
FRB 6411   630.0  35    545.0  0.152    13.3    1.0
FRB 6412   551.1  35    466.1  0.167    14.0    5.0
FRB 6414   203.7  35    118.7  0.014   454.1    2.0
FRB 6415  1400.7  35   1315.7  0.004     9.1    2.0
FRB 6416   755.1  35    670.1  0.439    14.7    3.0
FRB 6418   385.2  35    300.2  0.039    12.2    4.0
FRB 6419   411.4  35    326.4  0.130    53.8    1.0
FRB 6420   238.6  35    153.6  0.133   539.8    2.0
FRB 6422   475.9  35    390.9  0.054    12.0    2.0
FRB 6423   426.1  35    341.1  0.147   180.9    1.0
FRB 6424   193.6  35    108.6  0.043    19.0    2.0
FRB 6426   303.7  35    218.7  0.029    12.3    2.0
FRB 6428   327.2  35    242.2  0.232    11.8    2.0
FRB 6430   688.8  35    603.8  0.048    10.7    2.0
FRB 6431   334.3  35    249.3  0.268    22.1    1.0
FRB 6432   612.8  35    527.8  0.085    47.1    2.0
FRB 6433   193.2  35    108.2  0.070    16.7    3.0
FRB 6435   337.5  35    252.5  0.153    43.2    0.0
FRB 6436   529.2  35    444.2  0.647    26.9    2.0
FRB 6437   369.3  35    284.3  0.195    16.4    3.0
FRB 6438   303.4  35    218.4  0.170    50.6    3.0
FRB 6439   664.1  35    579.1  0.041   105.6    4.0
FRB 6440   191.8  35    106.8  0.095     9.1    1.0
FRB 6441   427.5  35    342.5  0.344    21.0    1.0
FRB 6442   675.4  35    590.4  0.259    25.8    1.0
FRB 6443   203.9  35    118.9  0.226    31.0    2.0
FRB 6444   209.5  35    124.5  0.180    17.4    4.0
FRB 6446   123.1  35     38.1  0.009    10.0    4.0
FRB 6447   703.8  35    618.8  0.271    34.7    3.0
FRB 6448   200.5  35    115.5  0.024    65.6    2.0
FRB 6450   739.1  35    654.1  0.348    80.8    2.0
FRB 6451  1306.2  35   1221.2  0.205    18.8    2.0
FRB 6452   548.7  35    463.7  0.315    14.5    2.0
FRB 6453   463.8  35    378.8  0.438    27.8    2.0
FRB 6454   292.1  35    207.1  0.199    17.0    3.0
FRB 6455   527.8  35    442.8  0.065    24.6    3.0
FRB 6456   275.6  35    190.6  0.355    22.5    4.0
FRB 6457   170.6  35     85.6  0.109    10.4    3.0
FRB 6458   617.5  35    532.5  0.195    90.2    3.0
FRB 6459   879.3  35    794.3  0.152    14.1    3.0
FRB 6460   185.6  35    100.6  0.070    63.9    0.0
FRB 6461   289.5  35    204.5  0.289    16.1    2.0
FRB 6462   400.8  35    315.8  0.239    39.7    2.0
FRB 6463   410.5  35    325.5  0.061    17.0    3.0
FRB 6465   268.9  35    183.9  0.199     9.1    2.0
FRB 6467   707.3  35    622.3  0.062     9.5    1.0
FRB 6469   591.4  35    506.4  0.201     9.1    1.0
FRB 6471   494.4  35    409.4  0.248     9.8    3.0
FRB 6473   294.0  35    209.0  0.261    14.6    1.0
FRB 6474   551.3  35    466.3  0.117     9.9    5.0
FRB 6475   311.2  35    226.2  0.184    26.3    0.0
FRB 6477   140.9  35     55.9  0.018    12.4    1.0
FRB 6478   351.2  35    266.2  0.091    15.5    2.0
FRB 6480   380.0  35    295.0  0.363    35.5    3.0
FRB 6481   153.0  35     68.0  0.008    14.3    3.0
FRB 6482   245.6  35    160.6  0.216    44.4    2.0
FRB 6483   138.3  35     53.3  0.016    10.9    1.0
FRB 6485   257.5  35    172.5  0.166    17.8    2.0
FRB 6486   508.0  35    423.0  0.116     9.5    3.0
FRB 6487  1173.5  35   1088.5  0.387    22.0    3.0
FRB 6489   251.2  35    166.2  0.105    12.8    4.0
FRB 6490   751.6  35    666.6  0.221    22.7    1.0
FRB 6491   146.1  35     61.1  0.007    63.7    1.0
FRB 6492   494.3  35    409.3  0.446    34.6    2.0
FRB 6494  1440.6  35   1355.6  0.295     9.7    2.0
FRB 6495   171.3  35     86.3  0.049    17.1    2.0
FRB 6497   489.0  35    404.0  0.304    15.1    2.0
FRB 6498   302.1  35    217.1  0.282    14.1    2.0
FRB 6499   236.5  35    151.5  0.114    15.1    3.0
FRB 6500   149.1  35     64.1  0.015     9.6    1.0
FRB 6501   540.1  35    455.1  0.644    37.3    2.0
FRB 6502   337.2  35    252.2  0.344    14.2    3.0
FRB 6504   446.9  35    361.9  0.294     9.7    3.0
FRB 6506   263.5  35    178.5  0.183    24.6    2.0
FRB 6507   184.9  35     99.9  0.067    10.6    1.0
FRB 6509   427.1  35    342.1  0.107    21.2    3.0
FRB 6510   668.8  35    583.8  0.535    10.5    3.0
FRB 6511   351.9  35    266.9  0.214    18.1    2.0
FRB 6512   322.9  35    237.9  0.379    21.5    2.0
FRB 6514   714.4  35    629.4  0.576    15.5    2.0
FRB 6515   213.8  35    128.8  0.061    12.1    3.0
