BW    336 #MHz
FRES  1 #MHz
NFRB 5388 #Number of FRBs
DIAM 12
NBEAMS 36
BEAM lat50_log #prefix of beam file
THRESH 6.844 #Jy ms to a 1 ms burst, very basic. Likely higher
SNRTHRESH 14 # signal-to-noise threshold: scales jy ms to snr
KEY ID 		DM   DMG DMEG	Z       SNR     w
FRB 5402   222.3  35    137.3  0.122    60.9    2.0
FRB 5403   359.9  35    274.9  0.342    19.8    2.0
FRB 5408   518.8  35    433.8  0.309    43.0    3.0
FRB 5409   199.4  35    114.4  0.092    18.0    3.0
FRB 5411   260.3  35    175.3  0.196    15.8    2.0
FRB 5412   678.5  35    593.5  0.483    34.2    2.0
FRB 5413   338.3  35    253.3  0.117    15.1    2.0
FRB 5414   584.0  35    499.0  0.543    27.6    3.0
FRB 5416   181.3  35     96.3  0.108    42.5    2.0
FRB 5418   543.6  35    458.6  0.049    26.7    0.0
FRB 5419   547.8  35    462.8  0.490    17.3    2.0
FRB 5422   442.8  35    357.8  0.192    37.4    0.0
FRB 5425   417.5  35    332.5  0.010    20.4    3.0
FRB 5426   961.8  35    876.8  0.339    18.2    3.0
FRB 5427   393.8  35    308.8  0.014    19.5    1.0
FRB 5429   580.0  35    495.0  0.240    25.3    2.0
FRB 5430   321.8  35    236.8  0.120    15.1    2.0
FRB 5432   663.5  35    578.5  0.171    35.8    2.0
FRB 5433   836.3  35    751.3  0.216    63.0    2.0
FRB 5434   586.4  35    501.4  0.070    87.0    2.0
FRB 5435   269.9  35    184.9  0.076    58.3    4.0
FRB 5437   368.7  35    283.7  0.094    33.2    3.0
FRB 5438   201.1  35    116.1  0.081    70.6    3.0
FRB 5440   620.4  35    535.4  0.314    26.1    4.0
FRB 5441   263.5  35    178.5  0.135    19.8    3.0
FRB 5442   388.6  35    303.6  0.009    24.9    1.0
FRB 5444   648.3  35    563.3  0.201    31.2    3.0
FRB 5445   546.2  35    461.2  0.496    24.6    0.0
FRB 5446   458.9  35    373.9  0.505    28.4    3.0
FRB 5447   693.7  35    608.7  0.131    47.7    2.0
FRB 5448   252.0  35    167.0  0.160    35.2    1.0
FRB 5449   483.8  35    398.8  0.055    20.1    2.0
FRB 5454   528.2  35    443.2  0.246    18.1    4.0
FRB 5458   756.2  35    671.2  0.243    38.2    4.0
FRB 5459   404.5  35    319.5  0.171    22.9    3.0
FRB 5460   413.3  35    328.3  0.118    42.9    1.0
FRB 5461   163.2  35     78.2  0.084    14.7    2.0
FRB 5462   283.2  35    198.2  0.222    14.6    3.0
FRB 5464   449.7  35    364.7  0.116    19.3    3.0
FRB 5467   267.2  35    182.2  0.242    16.6    3.0
FRB 5470   158.4  35     73.4  0.041    61.7    3.0
FRB 5472   582.2  35    497.2  0.522    16.2    2.0
FRB 5473   712.3  35    627.3  0.289    53.7    3.0
FRB 5476   721.2  35    636.2  0.606    18.2    2.0
FRB 5477   239.0  35    154.0  0.036    21.1    3.0
FRB 5479   101.6  35     16.6  0.018    17.8    3.0
FRB 5480   355.9  35    270.9  0.206    22.4    4.0
FRB 5481   458.4  35    373.4  0.483    18.6    1.0
FRB 5485   343.5  35    258.5  0.348    14.4    0.0
FRB 5486   322.6  35    237.6  0.225    43.7    1.0
FRB 5487   438.4  35    353.4  0.277    60.6    2.0
FRB 5489   132.8  35     47.8  0.027   223.1    1.0
FRB 5490   343.5  35    258.5  0.001    15.9    2.0
FRB 5492   174.9  35     89.9  0.064    51.7    3.0
FRB 5494   793.1  35    708.1  0.176    14.2    2.0
FRB 5496   339.6  35    254.6  0.197    15.9    2.0
FRB 5497   508.6  35    423.6  0.381    24.7    3.0
FRB 5499   334.2  35    249.2  0.397    21.7    3.0
FRB 5501   296.6  35    211.6  0.326    27.1    3.0
FRB 5502   458.0  35    373.0  0.384    37.6    3.0
FRB 5504   309.5  35    224.5  0.166    17.7    3.0
FRB 5505   502.4  35    417.4  0.257    16.5    4.0
FRB 5506   137.2  35     52.2  0.071    17.2    3.0
FRB 5508   199.8  35    114.8  0.136    20.4    3.0
FRB 5510   203.4  35    118.4  0.113    24.6    4.0
FRB 5512   530.4  35    445.4  0.317    23.1    2.0
FRB 5513   271.6  35    186.6  0.006    37.1    2.0
FRB 5516   707.8  35    622.8  0.271    21.3    3.0
FRB 5517   759.5  35    674.5  0.224    14.4    3.0
FRB 5518   340.8  35    255.8  0.082    14.2    4.0
FRB 5519   441.2  35    356.2  0.300    23.5    3.0
FRB 5520   316.6  35    231.6  0.289    30.7    1.0
FRB 5521   329.6  35    244.6  0.118    16.2    3.0
FRB 5524   329.0  35    244.0  0.040   171.0    2.0
FRB 5526   471.0  35    386.0  0.194    60.1    3.0
FRB 5528   301.3  35    216.3  0.312   156.8    0.0
FRB 5529   343.2  35    258.2  0.317    23.4    1.0
FRB 5532   306.2  35    221.2  0.183    37.5    4.0
FRB 5534   542.9  35    457.9  0.513    14.2    3.0
FRB 5536   359.0  35    274.0  0.178    19.4    1.0
FRB 5537   182.0  35     97.0  0.125    14.1    3.0
FRB 5538   233.9  35    148.9  0.065    15.0    2.0
FRB 5540   690.1  35    605.1  0.518    23.8    3.0
FRB 5543   238.2  35    153.2  0.041    85.1    2.0
FRB 5544   456.2  35    371.2  0.092   151.4    2.0
FRB 5545   615.0  35    530.0  0.236    78.4    2.0
FRB 5547   360.1  35    275.1  0.389    31.6    0.0
FRB 5548   942.5  35    857.5  0.198    19.4    3.0
FRB 5551   422.9  35    337.9  0.112    40.0    3.0
FRB 5553   911.8  35    826.8  0.274    41.1    4.0
FRB 5554  4315.2  35   4230.2  0.226    25.3    2.0
FRB 5556   204.3  35    119.3  0.160    44.1    2.0
FRB 5558   223.1  35    138.1  0.083    16.2    3.0
FRB 5559   450.3  35    365.3  0.329    30.9    2.0
FRB 5561   739.2  35    654.2  0.579    14.9    3.0
FRB 5562   352.3  35    267.3  0.294    14.7    3.0
FRB 5563   684.7  35    599.7  0.232    43.6    0.0
FRB 5564   245.9  35    160.9  0.210    21.2    3.0
FRB 5565   350.1  35    265.1  0.393    17.3    2.0
FRB 5568   231.6  35    146.6  0.049    21.7    4.0
FRB 5569   934.9  35    849.9  0.019    21.8    1.0
FRB 5570   121.3  35     36.3  0.035    45.2    2.0
FRB 5572   149.3  35     64.3  0.091    14.9    5.0
FRB 5574   239.8  35    154.8  0.099   162.9    4.0
FRB 5578   571.7  35    486.7  0.458    14.6    2.0
FRB 5580   514.2  35    429.2  0.458    14.5    2.0
FRB 5581   213.1  35    128.1  0.095    67.2    1.0
FRB 5582   282.4  35    197.4  0.100    23.1    3.0
FRB 5583   381.3  35    296.3  0.243    25.6    3.0
FRB 5586   667.2  35    582.2  0.027    71.3    5.0
FRB 5589   837.2  35    752.2  0.177    25.9    3.0
FRB 5590   775.0  35    690.0  0.708    14.0    2.0
FRB 5591   169.8  35     84.8  0.063    26.7    3.0
FRB 5592   402.2  35    317.2  0.398    14.8    2.0
FRB 5596   542.2  35    457.2  0.200    25.6    1.0
FRB 5597   316.5  35    231.5  0.221    48.7    2.0
FRB 5598   556.9  35    471.9  0.140    15.0    4.0
FRB 5599   861.5  35    776.5  0.115    80.1    3.0
FRB 5600   277.2  35    192.2  0.213    30.4    4.0
FRB 5601   789.0  35    704.0  0.068    15.0    6.0
FRB 5602   321.0  35    236.0  0.204    17.4    2.0
FRB 5603   164.8  35     79.8  0.106    20.9    1.0
FRB 5605   197.6  35    112.6  0.110    45.4    0.0
FRB 5607   288.8  35    203.8  0.252    63.4    3.0
FRB 5608   117.3  35     32.3  0.013    38.5    2.0
FRB 5609   325.1  35    240.1  0.080    15.5    3.0
FRB 5610   590.9  35    505.9  0.167    34.0    5.0
FRB 5611   274.9  35    189.9  0.266    17.6    2.0
FRB 5613   228.7  35    143.7  0.151    34.4    2.0
FRB 5614   105.4  35     20.4  0.002    24.4    4.0
FRB 5616   185.4  35    100.4  0.047    40.5    3.0
FRB 5617   203.2  35    118.2  0.085    80.2    2.0
FRB 5619   295.8  35    210.8  0.153    33.8    3.0
FRB 5620   511.0  35    426.0  0.310    15.6    2.0
FRB 5621   392.4  35    307.4  0.336    65.1    2.0
FRB 5626   206.8  35    121.8  0.094    25.4    2.0
FRB 5634   526.6  35    441.6  0.595    20.5    1.0
FRB 5635   337.7  35    252.7  0.193    14.3    2.0
FRB 5636   613.4  35    528.4  0.344    20.1    3.0
FRB 5637   742.6  35    657.6  0.013    60.1    3.0
FRB 5640   234.3  35    149.3  0.031    18.2    3.0
FRB 5641   320.0  35    235.0  0.321    19.4    1.0
FRB 5643   368.4  35    283.4  0.160    15.4    4.0
FRB 5645   254.0  35    169.0  0.183   176.5    2.0
FRB 5647   734.5  35    649.5  0.528    21.1    2.0
FRB 5648   231.5  35    146.5  0.063    39.2    4.0
FRB 5651   682.7  35    597.7  0.021    61.8    2.0
FRB 5653   243.0  35    158.0  0.025    14.9    3.0
FRB 5654   734.2  35    649.2  0.254    70.3    1.0
FRB 5655   463.8  35    378.8  0.033   223.2    3.0
FRB 5657   517.4  35    432.4  0.241    20.6    3.0
FRB 5659   310.2  35    225.2  0.031    33.6    2.0
FRB 5661   283.4  35    198.4  0.207    29.4    2.0
FRB 5662   601.8  35    516.8  0.012    21.9    2.0
FRB 5663   471.1  35    386.1  0.188    17.0    3.0
FRB 5664   242.8  35    157.8  0.104   219.4    3.0
FRB 5668  1011.6  35    926.6  0.124    16.4    1.0
FRB 5669   369.7  35    284.7  0.141    34.1    2.0
FRB 5672   520.3  35    435.3  0.330   110.8    2.0
FRB 5673   243.1  35    158.1  0.209    15.0    3.0
FRB 5677   861.6  35    776.6  0.413    16.5    3.0
FRB 5678   575.5  35    490.5  0.194    20.9    3.0
FRB 5679   644.9  35    559.9  0.431    28.7    3.0
FRB 5681   457.2  35    372.2  0.027    32.5    6.0
FRB 5686   464.5  35    379.5  0.033    22.4    3.0
FRB 5689   326.0  35    241.0  0.088    31.3    2.0
FRB 5691   224.1  35    139.1  0.191    17.5    3.0
FRB 5693   285.8  35    200.8  0.035    16.9    2.0
FRB 5695   391.4  35    306.4  0.194    25.1    3.0
FRB 5697   223.8  35    138.8  0.158    37.0    4.0
FRB 5698   201.9  35    116.9  0.060    51.5    2.0
FRB 5699   574.9  35    489.9  0.108    27.8    0.0
FRB 5700   207.1  35    122.1  0.089    14.1    4.0
FRB 5703   646.6  35    561.6  0.286    15.5    4.0
FRB 5704   289.1  35    204.1  0.272    31.5    3.0
FRB 5707   502.4  35    417.4  0.500    14.4    2.0
FRB 5708   228.5  35    143.5  0.036    21.6    4.0
FRB 5711   466.2  35    381.2  0.442    15.1    1.0
FRB 5714   299.2  35    214.2  0.122    21.4    3.0
FRB 5716   565.0  35    480.0  0.459    20.3    2.0
FRB 5717   437.7  35    352.7  0.348    51.1    3.0
FRB 5718   438.6  35    353.6  0.093    18.1    3.0
FRB 5719   187.2  35    102.2  0.039    68.2    3.0
FRB 5720   535.6  35    450.6  0.477    43.2    2.0
FRB 5721   378.2  35    293.2  0.422    14.0    1.0
FRB 5722   168.3  35     83.3  0.043    17.4    2.0
FRB 5723  1105.2  35   1020.2  0.091    59.1    4.0
FRB 5724   230.9  35    145.9  0.104    14.3    1.0
FRB 5726   467.4  35    382.4  0.272    20.6    4.0
FRB 5728   286.3  35    201.3  0.137    15.9    5.0
FRB 5731   306.8  35    221.8  0.256    28.2    3.0
FRB 5733   650.4  35    565.4  0.470    16.6    3.0
FRB 5734   289.5  35    204.5  0.197    30.9    4.0
FRB 5735   203.0  35    118.0  0.023    44.5    2.0
FRB 5736   228.3  35    143.3  0.064   162.2    5.0
FRB 5738   249.9  35    164.9  0.133    33.4    3.0
FRB 5743   524.1  35    439.1  0.411    20.2    3.0
FRB 5744   362.3  35    277.3  0.026    22.7    3.0
FRB 5747   617.1  35    532.1  0.497    15.0    3.0
FRB 5748   231.4  35    146.4  0.064    23.5    4.0
FRB 5750   414.5  35    329.5  0.187    38.5    4.0
FRB 5753   325.2  35    240.2  0.241    28.3    1.0
FRB 5754   154.6  35     69.6  0.016    19.6    4.0
FRB 5755   881.2  35    796.2  0.138    21.1    4.0
FRB 5757   652.1  35    567.1  0.338    19.1    2.0
FRB 5758   235.5  35    150.5  0.214    65.6    2.0
FRB 5759   292.7  35    207.7  0.094    71.2    5.0
FRB 5761   286.6  35    201.6  0.284    14.3    3.0
FRB 5764   338.7  35    253.7  0.032    16.8    4.0
FRB 5767   243.9  35    158.9  0.117    14.4    2.0
FRB 5768   400.4  35    315.4  0.191   248.2    3.0
FRB 5770   540.5  35    455.5  0.267    90.1    0.0
FRB 5771   413.3  35    328.3  0.178    17.8    3.0
FRB 5772   653.8  35    568.8  0.209    17.3    3.0
FRB 5774   273.6  35    188.6  0.066    25.8    1.0
FRB 5780   582.5  35    497.5  0.256    28.9    4.0
FRB 5781   228.6  35    143.6  0.050    50.3    1.0
FRB 5782   753.2  35    668.2  0.410    14.4    2.0
FRB 5786   296.5  35    211.5  0.230    17.4    2.0
FRB 5792   310.8  35    225.8  0.224    18.0    2.0
FRB 5793   425.5  35    340.5  0.452    23.9    4.0
FRB 5796   188.6  35    103.6  0.115    16.4    2.0
FRB 5798   182.5  35     97.5  0.050    14.8    3.0
FRB 5799   363.0  35    278.0  0.148    23.6    4.0
FRB 5801   392.2  35    307.2  0.325    15.9    3.0
FRB 5804   205.6  35    120.6  0.117   197.1    2.0
FRB 5810   347.4  35    262.4  0.056    69.6    3.0
FRB 5811   340.4  35    255.4  0.374    22.1    3.0
FRB 5814   431.2  35    346.2  0.198    16.3    1.0
FRB 5815   659.3  35    574.3  0.459    15.6    3.0
FRB 5816   340.5  35    255.5  0.335    63.8    3.0
FRB 5818   401.7  35    316.7  0.321    15.4    3.0
FRB 5819   397.9  35    312.9  0.097    46.2    3.0
FRB 5820   329.6  35    244.6  0.017    22.8    3.0
FRB 5822  1284.4  35   1199.4  0.218    21.8    3.0
FRB 5823   916.9  35    831.9  0.161    20.2    3.0
FRB 5825   206.0  35    121.0  0.148    17.7    2.0
FRB 5826   292.5  35    207.5  0.209    19.7    3.0
FRB 5827   170.6  35     85.6  0.106    21.1    4.0
FRB 5828   394.0  35    309.0  0.093    19.2    3.0
FRB 5830   497.7  35    412.7  0.500    28.6    2.0
FRB 5831   140.0  35     55.0  0.036    21.6    3.0
FRB 5834   586.1  35    501.1  0.674    23.2    1.0
FRB 5835   577.4  35    492.4  0.005    14.6    4.0
FRB 5836   264.4  35    179.4  0.032    69.0    3.0
FRB 5837   377.2  35    292.2  0.084    61.7    2.0
FRB 5838   378.6  35    293.6  0.419    15.9    3.0
FRB 5839   421.6  35    336.6  0.173    15.1    3.0
FRB 5840  1200.6  35   1115.6  0.011    14.9    4.0
FRB 5841   294.0  35    209.0  0.178    16.5    2.0
FRB 5842   123.0  35     38.0  0.006    78.4    3.0
FRB 5843   332.1  35    247.1  0.071    15.3    1.0
FRB 5849   261.0  35    176.0  0.227    18.5    2.0
FRB 5850   364.1  35    279.1  0.095    31.5    3.0
FRB 5851   331.2  35    246.2  0.110    22.5    3.0
FRB 5853  1201.1  35   1116.1  0.285    20.7    3.0
FRB 5854   323.6  35    238.6  0.124   125.8    1.0
FRB 5855   660.2  35    575.2  0.417    22.0    3.0
FRB 5859   225.5  35    140.5  0.164    35.6    4.0
FRB 5861   389.6  35    304.6  0.435    15.7    3.0
FRB 5862   397.2  35    312.2  0.249    15.0    3.0
FRB 5863   317.6  35    232.6  0.034    15.6    3.0
FRB 5866   674.3  35    589.3  0.079    56.3    4.0
FRB 5867   382.0  35    297.0  0.301    19.8    2.0
FRB 5870   191.5  35    106.5  0.074   240.3    3.0
FRB 5872   344.8  35    259.8  0.082    22.9    2.0
FRB 5873   514.3  35    429.3  0.344    37.5    1.0
FRB 5874   195.2  35    110.2  0.115    40.1    4.0
FRB 5875   255.0  35    170.0  0.139    53.9    3.0
FRB 5877   854.6  35    769.6  0.528    14.6    3.0
FRB 5879   308.4  35    223.4  0.230    14.7    2.0
FRB 5885   329.9  35    244.9  0.421    17.0    3.0
FRB 5886   409.5  35    324.5  0.356    32.5    3.0
FRB 5887   188.2  35    103.2  0.118    27.6    3.0
FRB 5888   263.2  35    178.2  0.099    14.3    3.0
FRB 5889   143.2  35     58.2  0.055    15.2    3.0
FRB 5890   453.3  35    368.3  0.236    30.1    5.0
FRB 5891   393.3  35    308.3  0.127    25.3    2.0
FRB 5892   343.2  35    258.2  0.083    22.8    5.0
FRB 5893   652.5  35    567.5  0.115    28.9    3.0
FRB 5894   253.1  35    168.1  0.225    25.5    3.0
FRB 5895   479.4  35    394.4  0.445    14.2    2.0
FRB 5896   373.6  35    288.6  0.257    15.0    3.0
FRB 5897   256.9  35    171.9  0.062    16.7    2.0
FRB 5900   199.8  35    114.8  0.176    23.9    4.0
FRB 5901   206.3  35    121.3  0.170    25.0    3.0
FRB 5905   307.5  35    222.5  0.381    21.0    3.0
FRB 5906   143.4  35     58.4  0.073   155.6    4.0
FRB 5907   240.8  35    155.8  0.150    14.5    3.0
FRB 5909   564.8  35    479.8  0.419    26.5    2.0
FRB 5910   562.8  35    477.8  0.416    24.3    1.0
FRB 5911  2421.5  35   2336.5  0.129    29.3    3.0
FRB 5912   466.5  35    381.5  0.367    43.2    2.0
FRB 5913   194.9  35    109.9  0.064    17.5    4.0
FRB 5914   340.9  35    255.9  0.260    14.5    2.0
FRB 5917   447.3  35    362.3  0.103    41.0    2.0
FRB 5918   368.9  35    283.9  0.411    14.8    3.0
FRB 5919   303.4  35    218.4  0.126    17.6    1.0
FRB 5920   427.7  35    342.7  0.212    36.0    4.0
FRB 5921   326.5  35    241.5  0.090    31.0    5.0
FRB 5924   738.9  35    653.9  0.377    20.4    3.0
FRB 5925   319.6  35    234.6  0.139    15.1    2.0
FRB 5926   201.9  35    116.9  0.022    20.2    2.0
FRB 5928   198.5  35    113.5  0.060    51.3    2.0
FRB 5929   472.8  35    387.8  0.134    14.4    2.0
FRB 5930   744.8  35    659.8  0.209    18.4    3.0
FRB 5932   260.8  35    175.8  0.020    32.3    1.0
FRB 5935   486.0  35    401.0  0.316    18.2    3.0
FRB 5936   496.0  35    411.0  0.292    21.3    2.0
FRB 5937   195.4  35    110.4  0.151    73.7    2.0
FRB 5940   599.7  35    514.7  0.065    20.0    5.0
FRB 5943   229.9  35    144.9  0.216    19.6    2.0
FRB 5944   236.4  35    151.4  0.180    26.0    3.0
FRB 5945   415.8  35    330.8  0.191    15.8    1.0
FRB 5947   581.9  35    496.9  0.233    34.5    3.0
FRB 5948   294.3  35    209.3  0.163    49.7    3.0
FRB 5949   689.4  35    604.4  0.383    46.0    2.0
FRB 5950   239.0  35    154.0  0.092    78.6    3.0
FRB 5951   741.9  35    656.9  0.586    22.6    2.0
FRB 5953   307.0  35    222.0  0.095    30.8    4.0
FRB 5954   349.1  35    264.1  0.110    23.6    3.0
FRB 5958   255.0  35    170.0  0.050    34.4    1.0
FRB 5959   331.2  35    246.2  0.098    51.4    3.0
FRB 5960  2524.5  35   2439.5  0.064    15.7    3.0
FRB 5962   338.9  35    253.9  0.406    16.8    1.0
FRB 5964   362.4  35    277.4  0.397    14.1    4.0
FRB 5966   598.8  35    513.8  0.295    23.0    2.0
FRB 5970   327.9  35    242.9  0.138    43.8    2.0
FRB 5973   478.7  35    393.7  0.436    33.6    2.0
FRB 5974   553.0  35    468.0  0.214    21.7    4.0
FRB 5975   297.8  35    212.8  0.220    70.2    2.0
FRB 5977   257.0  35    172.0  0.092   338.3    2.0
FRB 5979   344.7  35    259.7  0.038    19.1    3.0
FRB 5982   440.2  35    355.2  0.177    16.9    4.0
FRB 5985   600.8  35    515.8  0.525    15.7    3.0
FRB 5986   785.9  35    700.9  0.485    14.2    2.0
FRB 5991   303.8  35    218.8  0.023    23.3    3.0
FRB 5992   472.9  35    387.9  0.150    27.4    4.0
FRB 5994   439.5  35    354.5  0.249    23.1    3.0
FRB 5996   278.8  35    193.8  0.080    28.8    5.0
FRB 5997   674.6  35    589.6  0.375    34.0    3.0
FRB 5998   447.0  35    362.0  0.462    17.3    1.0
FRB 6007   217.6  35    132.6  0.130    25.2    3.0
FRB 6009   358.5  35    273.5  0.284    25.1    3.0
FRB 6011   287.9  35    202.9  0.248    22.5    3.0
FRB 6013   614.0  35    529.0  0.077    20.0    3.0
FRB 6015   171.0  35     86.0  0.012    14.0    3.0
FRB 6016  1104.7  35   1019.7  0.204    23.3    1.0
FRB 6018   281.4  35    196.4  0.177    86.5    1.0
FRB 6020   403.0  35    318.0  0.342    41.8    3.0
FRB 6024   641.5  35    556.5  0.133    19.0    3.0
FRB 6026   419.1  35    334.1  0.259    22.3    2.0
FRB 6027  1333.0  35   1248.0  0.350    43.5    4.0
FRB 6028   424.6  35    339.6  0.165    17.8    1.0
FRB 6029   651.2  35    566.2  0.336    17.8    4.0
FRB 6030   468.8  35    383.8  0.241    16.2    3.0
FRB 6035   353.0  35    268.0  0.090    21.0    2.0
FRB 6036   273.5  35    188.5  0.161    14.4    2.0
FRB 6038   218.9  35    133.9  0.114    25.8    2.0
FRB 6039   459.7  35    374.7  0.282    43.5    3.0
FRB 6040   487.1  35    402.1  0.375    39.8    3.0
FRB 6042   268.6  35    183.6  0.277    36.2    0.0
FRB 6043   785.9  35    700.9  0.242    16.0    4.0
FRB 6045   419.3  35    334.3  0.041    43.8    3.0
FRB 6048   450.9  35    365.9  0.089    46.5    2.0
FRB 6049   318.6  35    233.6  0.300    20.7    3.0
FRB 6051   647.9  35    562.9  0.005   252.4    2.0
FRB 6053   312.6  35    227.6  0.127    19.9    1.0
FRB 6060   304.8  35    219.8  0.077    48.9    2.0
FRB 6061   739.5  35    654.5  0.619    16.1    3.0
FRB 6065   840.3  35    755.3  0.045    53.6    4.0
FRB 6068   476.1  35    391.1  0.130   155.6    2.0
FRB 6071   893.2  35    808.2  0.020    41.3    2.0
FRB 6073   426.8  35    341.8  0.478    40.4    3.0
FRB 6074   689.2  35    604.2  0.070    62.3    3.0
FRB 6075   410.3  35    325.3  0.324    15.1    0.0
FRB 6076   918.0  35    833.0  0.152    52.6    3.0
FRB 6079   290.1  35    205.1  0.045    14.2    2.0
FRB 6081   323.3  35    238.3  0.197    20.1    3.0
FRB 6084   543.8  35    458.8  0.271    15.7    2.0
FRB 6085   349.0  35    264.0  0.356    18.5    3.0
FRB 6089   300.9  35    215.9  0.097    32.3    0.0
FRB 6092   435.2  35    350.2  0.378    42.7    1.0
FRB 6093   323.4  35    238.4  0.259    42.6    3.0
FRB 6094   370.5  35    285.5  0.427    14.2    4.0
FRB 6097   442.5  35    357.5  0.197    37.6    2.0
FRB 6098   138.5  35     53.5  0.036    14.2    4.0
FRB 6099   426.4  35    341.4  0.140    15.0    3.0
FRB 6100   311.4  35    226.4  0.320    18.0    3.0
FRB 6101   550.6  35    465.6  0.076    36.9    3.0
FRB 6102   785.8  35    700.8  0.169    45.3    3.0
FRB 6107   639.8  35    554.8  0.003    29.5    3.0
FRB 6109   391.1  35    306.1  0.098   178.1    4.0
FRB 6110   507.7  35    422.7  0.667    17.9    1.0
FRB 6113   131.3  35     46.3  0.043    22.6    2.0
FRB 6116   372.4  35    287.4  0.006    42.6    3.0
FRB 6117   191.0  35    106.0  0.169    31.2    5.0
FRB 6120   211.0  35    126.0  0.045    14.6    3.0
FRB 6121   518.4  35    433.4  0.091    14.4    3.0
FRB 6122   369.1  35    284.1  0.282    25.3    2.0
FRB 6124   974.3  35    889.3  0.276    32.7    3.0
FRB 6127   344.8  35    259.8  0.326    15.0    2.0
FRB 6128   177.5  35     92.5  0.020    30.8    2.0
FRB 6130   228.8  35    143.8  0.018    17.6    3.0
FRB 6134   378.0  35    293.0  0.392    48.1    2.0
FRB 6135   236.7  35    151.7  0.167    19.5    2.0
FRB 6140   579.1  35    494.1  0.095    18.5    3.0
FRB 6142   209.0  35    124.0  0.128    37.5    4.0
FRB 6143   229.4  35    144.4  0.101    55.6    4.0
FRB 6144   219.9  35    134.9  0.039    54.2    1.0
FRB 6145   154.8  35     69.8  0.005    40.2    3.0
FRB 6146   147.8  35     62.8  0.012    20.3    0.0
FRB 6150   359.2  35    274.2  0.312    32.6    3.0
FRB 6151   373.7  35    288.7  0.056    22.8    3.0
FRB 6152   298.3  35    213.3  0.089    15.8    3.0
FRB 6153   366.9  35    281.9  0.169    25.8    2.0
FRB 6154   702.4  35    617.4  0.258    21.3    2.0
FRB 6155   330.6  35    245.6  0.352    17.3    1.0
FRB 6160   364.7  35    279.7  0.294    17.0    4.0
FRB 6161   442.5  35    357.5  0.053    25.3    2.0
FRB 6162   407.7  35    322.7  0.129    17.3    0.0
FRB 6164   475.2  35    390.2  0.363    15.5    3.0
FRB 6166   181.4  35     96.4  0.109    17.6    3.0
FRB 6169   438.6  35    353.6  0.101    50.4    3.0
FRB 6175   232.0  35    147.0  0.131    25.0    4.0
FRB 6177   555.8  35    470.8  0.317    17.9    3.0
FRB 6179   683.5  35    598.5  0.288    14.4    3.0
FRB 6183   481.9  35    396.9  0.345    15.2    3.0
FRB 6186   964.1  35    879.1  0.268    14.7    3.0
FRB 6189   305.1  35    220.1  0.074    25.8    2.0
FRB 6190  1478.0  35   1393.0  0.153    47.0    4.0
FRB 6192   278.6  35    193.6  0.202    14.0    5.0
FRB 6193   931.6  35    846.6  0.460    26.0    1.0
FRB 6199   127.0  35     42.0  0.003   132.3    2.0
FRB 6200   646.4  35    561.4  0.028    16.3    5.0
FRB 6201   276.0  35    191.0  0.316    16.1    3.0
FRB 6203  1513.4  35   1428.4  0.127    19.5    3.0
FRB 6206   338.6  35    253.6  0.315    18.0    2.0
FRB 6207   721.3  35    636.3  0.153    16.5    4.0
FRB 6208   372.8  35    287.8  0.298    17.9    2.0
FRB 6209   283.3  35    198.3  0.151    31.7    2.0
FRB 6210   374.3  35    289.3  0.272    14.5    1.0
FRB 6211   449.2  35    364.2  0.146    16.5    3.0
FRB 6212   446.0  35    361.0  0.197    39.7    2.0
FRB 6216   710.6  35    625.6  0.290    35.2    1.0
FRB 6217   151.6  35     66.6  0.064    26.6    4.0
FRB 6218   571.3  35    486.3  0.367    18.9    4.0
FRB 6219   654.6  35    569.6  0.481    23.0    1.0
FRB 6221   922.3  35    837.3  0.445    21.9    2.0
FRB 6223   294.3  35    209.3  0.025    40.6    1.0
FRB 6224   711.5  35    626.5  0.113    22.2    4.0
FRB 6225   269.2  35    184.2  0.135    23.2    3.0
FRB 6228   495.0  35    410.0  0.337    19.5    0.0
FRB 6230   172.6  35     87.6  0.096    14.1    3.0
FRB 6231   504.8  35    419.8  0.035    14.4    2.0
FRB 6234   325.7  35    240.7  0.402    26.8    1.0
FRB 6235   430.8  35    345.8  0.341    14.6    1.0
FRB 6236   451.1  35    366.1  0.261    31.1    3.0
FRB 6237   377.1  35    292.1  0.112    27.3    2.0
FRB 6241   213.2  35    128.2  0.002    30.4    2.0
FRB 6246   418.0  35    333.0  0.169    46.4    2.0
FRB 6248   275.2  35    190.2  0.188    14.2    4.0
FRB 6249   630.5  35    545.5  0.455    16.4    1.0
FRB 6250   420.1  35    335.1  0.008    53.5    4.0
FRB 6251   288.7  35    203.7  0.039    20.8    2.0
FRB 6254   701.9  35    616.9  0.040    32.7    2.0
FRB 6257   329.3  35    244.3  0.176   179.7    2.0
FRB 6258   365.7  35    280.7  0.126    25.8    2.0
FRB 6263   186.2  35    101.2  0.040    27.9    0.0
FRB 6265   393.6  35    308.6  0.236    34.2    2.0
FRB 6267   176.3  35     91.3  0.046    19.3    3.0
FRB 6268   419.8  35    334.8  0.182    36.9    3.0
FRB 6269   635.5  35    550.5  0.431    16.8    2.0
FRB 6270   172.7  35     87.7  0.071    29.3    4.0
FRB 6272   672.6  35    587.6  0.460    14.9    2.0
FRB 6276   275.4  35    190.4  0.250    17.3    3.0
